id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
296,3,1,1,5,15,Pair Of Line ,1,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+15.pdf
295,3,1,1,5,14,Circles ,9,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+14.pdf
294,3,1,1,5,13,Quadilaterals,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+13.pdf
293,3,1,1,5,12,Triangles ,3,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+12.pdf
292,3,1,1,5,11,Angles ,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+11.pdf
291,3,1,1,5,10,Basic Geometric Concept,20,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+10.pdf
290,3,1,1,5,9,Ratio Proportion ,23,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+9.pdf
289,3,1,1,5,8,Introduction To Algebra,16,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+8.pdf
288,3,1,1,5,7,Decimal,22,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+7.pdf
287,3,1,1,5,6,Fraction ,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+6.pdf
286,3,1,1,5,5,Negative Integer And Numbe R,33,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+5.pdf
285,3,1,1,5,4,Operation On Whole Number,25,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+4.pdf
284,3,1,1,5,3,Whole Number ,29,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+3.pdf
283,3,1,1,5,2,Playing With Number ,53,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+2.pdf
